08/19/93;UW;ARCHIVE;100;1962;W;IEEE;14;Bus;Test;Case;;;;;;;
BUS DATA;FOLLOWS;57;ITEMS;;;;;;;;;;;;;;
Bus_ID;Bus_name;Area_number;Loss_zone;bustype;V0;Th0;Pd;Qg;Pg0;Qg0;BaseKV;Vg;Qmin;Qmax;gshb;bshb;rcb
1;Kanawha   V1;1;1;3;1.04;0;55;17;128.9;-16.1;0;1.04;0;0;0;0;0
2;Turner    V1;1;1;2;1.01;-1.18;3;88;0;-0.8;0;1.01;50;-17;0;0;0
3;Logan     V1;1;1;2;0.985;-5.97;41;21;40;-1;0;0.985;60;-10;0;0;0
4;Sprigg    V1;1;1;0;0.981;-7.32;0;0;0;0;0;0;0;0;0;0;0
5;Bus 5     V1;1;1;0;0.976;-8.52;13;4;0;0;0;0;0;0;0;0;0
6;Beaver Ck V1;1;1;2;0.98;-8.65;75;2;0;0.8;0;0.98;25;-8;0;0;0
7;Bus 7     V1;1;1;0;0.984;-7.58;0;0;0;0;0;0;0;0;0;0;0
8;Clinch Rv V1;1;1;2;1.005;-4.45;150;22;450;62.1;0;1.005;200;-140;0;0;0
9;Saltville V1;1;1;2;0.98;-9.56;121;26;0;2.2;0;0.98;9;-3;0;0;0
10;Bus 10    V1;1;1;0;0.986;-11.43;5;2;0;0;0;0;0;0;0;0;0
11;Tazewell  V1;1;1;0;0.974;-10.17;0;0;0;0;0;0;0;0;0;0;0
12;Glen Lyn  V1;1;1;2;1.015;-10.46;377;24;310;128.5;0;1.015;155;-150;0;0;0
13;Bus 13    V1;1;1;0;0.979;-9.79;18;2.3;0;0;0;0;0;0;0;0;0
14;Bus 14    V1;1;1;0;0.97;-9.33;10.5;5.3;0;0;0;0;0;0;0;0;0
15;Bus 15    V1;1;1;0;0.988;-7.18;22;5;0;0;0;0;0;0;0;0;0
16;Bus 16    V1;1;1;0;1.013;-8.85;43;3;0;0;0;0;0;0;0;0;0
17;Bus 17    V1;1;1;0;1.017;-5.39;42;8;0;0;0;0;0;0;0;0;0
18;Sprigg    V2;1;1;0;1.001;-11.71;27.2;9.8;0;0;0;0;0;0;0;0.1;0
19;Bus 19    V2;1;1;0;0.97;-13.2;3.3;0.6;0;0;0;0;0;0;0;0;0
20;Bus 20    V2;1;1;0;0.964;-13.41;2.3;1;0;0;0;0;0;0;0;0;0
21;Bus 21    V3;1;1;0;1.008;-12.89;0;0;0;0;0;0;0;0;0;0;0
22;Bus 22    V3;1;1;0;1.01;-12.84;0;0;0;0;0;0;0;0;0;0;0
23;Bus 23    V3;1;1;0;1.008;-12.91;6.3;2.1;0;0;0;0;0;0;0;0;0
24;Bus 24    V3;1;1;0;0.999;-13.25;0;0;0;0;0;0;0;0;0;0;0
25;Bus 25    V4;1;1;0;0.982;-18.13;6.3;3.2;0;0;0;0;0;0;0;0.059;0
26;Bus 26    V5;1;1;0;0.959;-12.95;0;0;0;0;0;0;0;0;0;0;0
27;Bus 27    V5;1;1;0;0.982;-11.48;9.3;0.5;0;0;0;0;0;0;0;0;0
28;Bus 28    V5;1;1;0;0.997;-10.45;4.6;2.3;0;0;0;0;0;0;0;0;0
29;Bus 29    V5;1;1;0;1.01;-9.75;17;2.6;0;0;0;0;0;0;0;0;0
30;Bus 30    V4;1;1;0;0.962;-18.68;3.6;1.8;0;0;0;0;0;0;0;0;0
31;Bus 31    V4;1;1;0;0.936;-19.34;5.8;2.9;0;0;0;0;0;0;0;0;0
32;Bus 32    V4;1;1;0;0.949;-18.46;1.6;0.8;0;0;0;0;0;0;0;0;0
33;Bus 33    V4;1;1;0;0.947;-18.5;3.8;1.9;0;0;0;0;0;0;0;0;0
34;Bus 34    V3;1;1;0;0.959;-14.1;0;0;0;0;0;0;0;0;0;0;0
35;Bus 35    V3;1;1;0;0.966;-13.86;6;3;0;0;0;0;0;0;0;0;0
36;Bus 36    V3;1;1;0;0.976;-13.59;0;0;0;0;0;0;0;0;0;0;0
37;Bus 37    V3;1;1;0;0.985;-13.41;0;0;0;0;0;0;0;0;0;0;0
38;Bus 38    V3;1;1;0;1.013;-12.71;14;7;0;0;0;0;0;0;0;0;0
39;Bus 39    V3;1;1;0;0.983;-13.46;0;0;0;0;0;0;0;0;0;0;0
40;Bus 40    V3;1;1;0;0.973;-13.62;0;0;0;0;0;0;0;0;0;0;0
41;Tazewell  V6;1;1;0;0.996;-14.05;6.3;3;0;0;0;0;0;0;0;0;0
42;Bus 42    V6;1;1;0;0.966;-15.5;7.1;4.4;0;0;0;0;0;0;0;0;0
43;Tazewell  V7;1;1;0;1.01;-11.33;2;1;0;0;0;0;0;0;0;0;0
44;Bus 44    V3;1;1;0;1.017;-11.86;12;1.8;0;0;0;0;0;0;0;0;0
45;Bus 45    V3;1;1;0;1.036;-9.25;0;0;0;0;0;0;0;0;0;0;0
46;Bus 46    V3;1;1;0;1.05;-11.89;0;0;0;0;0;0;0;0;0;0;0
47;Bus 47    V3;1;1;0;1.033;-12.49;29.7;11.6;0;0;0;0;0;0;0;0;0
48;Bus 48    V3;1;1;0;1.027;-12.59;0;0;0;0;0;0;0;0;0;0;0
49;Bus 49    V3;1;1;0;1.036;-12.92;18;8.5;0;0;0;0;0;0;0;0;0
50;Bus 50    V3;1;1;0;1.023;-13.39;21;10.5;0;0;0;0;0;0;0;0;0
51;Bus 51    V3;1;1;0;1.052;-12.52;18;5.3;0;0;0;0;0;0;0;0;0
52;Bus 52    V5;1;1;0;0.98;-11.47;4.9;2.2;0;0;0;0;0;0;0;0;0
53;Bus 53    V5;1;1;0;0.971;-12.23;20;10;0;0;0;0;0;0;0;0.063;0
54;Bus 54    V5;1;1;0;0.996;-11.69;4.1;1.4;0;0;0;0;0;0;0;0;0
55;Saltville V5;1;1;0;1.031;-10.78;6.8;3.4;0;0;0;0;0;0;0;0;0
56;Bus 56    V6;1;1;0;0.968;-16.04;7.6;2.2;0;0;0;0;0;0;0;0;0
57;Bus 57    V6;1;1;0;0.965;-16.56;6.7;2;0;0;0;0;0;0;0;0;0
